state,name,party,term_raw,start_date,end_date
Andhra Pradesh,Position vacant (15 November 1954 – 28 March 1955) President's rule was imposed during this period[a],Position vacant (15 November 1954 – 28 March 1955) President's rule was imposed during this period[a],Position vacant (15 November 1954 – 28 March 1955) President's rule was imposed during this period[a],1954-11-15T00:00:00,2026-03-28T00:00:00
Arunachal Pradesh,Prem Khandu Thungan (born 1946) MLA for Dirang Kalaktang,Janata Party,13 August 1975,1975-08-13T00:00:00,NaT
Arunachal Pradesh,Prem Khandu Thungan (born 1946) MLA for Dirang Kalaktang,Janata Party,13 August 1975,1975-08-13T00:00:00,NaT
Arunachal Pradesh,Tomo Riba (1934–2000) MLA for Basar,People's Party of Arunachal,18 September 1979,1979-09-18T00:00:00,NaT
Arunachal Pradesh,Position vacant (3 November 1979 – 18 January 1980) President's rule was imposed during this period[a],Position vacant (3 November 1979 – 18 January 1980) President's rule was imposed during this period[a],Position vacant (3 November 1979 – 18 January 1980) President's rule was imposed during this period[a],1979-11-03T00:00:00,2026-01-18T00:00:00
Arunachal Pradesh,Gegong Apang (born 1947) MLA for Tuting–Yingkiong,Indian National Congress,18 January 1980,1980-01-18T00:00:00,NaT
Arunachal Pradesh,Gegong Apang (born 1947) MLA for Tuting–Yingkiong,Indian National Congress,18 January 1980,1980-01-18T00:00:00,NaT
Assam,Muhammed Saadulah,Assam Valley Party (INC),1 April 1937,1937-04-01T00:00:00,NaT
Assam,Gopinath Bordoloi,Indian National Congress,19 September 1938,1938-09-19T00:00:00,NaT
Assam,Muhammed Saadulah,Assam Valley Party (AIML),17 November 1939,1939-11-17T00:00:00,NaT
Assam,Muhammed Saadulah,Assam Valley Party (AIML),25 August 1942,1942-08-25T00:00:00,NaT
Assam,Gopinath Bordoloi,Indian National Congress,11 February 1946,1946-02-11T00:00:00,NaT
Bihar,Mohammad Yunus,Muslim Independent Party,1 April 1937 – 19 July 1937,1937-04-01T00:00:00,1937-07-19T00:00:00
Bihar,Shri Krishna Sinha,Indian National Congress,20 July 1937 – 31 October 1939,1937-07-20T00:00:00,1939-10-31T00:00:00
Bihar,Vacant,Vacant,Vacant – Vacant,NaT,NaT
Bihar,Shri Krishna Sinha,Indian National Congress,23 March 1946 – 14 August 1947,1946-03-23T00:00:00,1947-08-14T00:00:00
Chhattisgarh,Ajit Jogi (1946–2020) MLA for Marwahi,Indian National Congress,1 November 2000,2000-11-01T00:00:00,NaT
Chhattisgarh,"Raman Singh (born 1952) MLA for Dongargaon, until 2004 MLA for Rajnandgaon, from 2004",Bharatiya Janata Party,7 December 2003,2003-12-07T00:00:00,NaT
Chhattisgarh,"Raman Singh (born 1952) MLA for Dongargaon, until 2004 MLA for Rajnandgaon, from 2004",Bharatiya Janata Party,7 December 2003,2003-12-07T00:00:00,NaT
Chhattisgarh,"Raman Singh (born 1952) MLA for Dongargaon, until 2004 MLA for Rajnandgaon, from 2004",Bharatiya Janata Party,7 December 2003,2003-12-07T00:00:00,NaT
Chhattisgarh,Bhupesh Baghel (born 1960) MLA for Patan,Indian National Congress,17 December 2018,2018-12-17T00:00:00,NaT
Chhattisgarh,Vishnu Deo Sai (born 1964) MLA for Kunkuri,Bharatiya Janata Party,13 December 2023,2023-12-13T00:00:00,NaT
Goa,Dayanand Bandodkar,Maharashtrawadi Gomantak Party,20 December 1963,1963-12-20T00:00:00,NaT
Goa,Dayanand Bandodkar,Maharashtrawadi Gomantak Party,5 April 1967,1967-04-05T00:00:00,NaT
