state,party,total_days,first_start,last_end,total_years,first_year_in_power,last_year_in_power
Andhra Pradesh,Position vacant (15 November 1954 – 28 March 1955) President's rule was imposed during this period[a],26066.0,1954-11-15,2026-03-28,71.36481861738535,1954,2026
Arunachal Pradesh,Indian National Congress,33812.0,1980-01-18,2026-05-02,92.57221081451061,1980,2026
Arunachal Pradesh,Janata Party,37050.0,1975-08-13,2026-05-02,101.43737166324435,1975,2026
Arunachal Pradesh,People's Party of Arunachal,17028.0,1979-09-18,2026-05-02,46.620123203285424,1979,2026
Arunachal Pradesh,Position vacant (3 November 1979 – 18 January 1980) President's rule was imposed during this period[a],16878.0,1979-11-03,2026-01-18,46.209445585215605,1979,2026
Assam,Assam Valley Party (AIML),62144.0,1939-11-17,2026-05-02,170.1409993155373,1939,2026
Assam,Assam Valley Party (INC),32538.0,1937-04-01,2026-05-02,89.08418891170432,1937,2026
Assam,Indian National Congress,61302.0,1938-09-19,2026-05-02,167.8357289527721,1938,2026
Bihar,Indian National Congress,1342.0,1937-07-20,1947-08-14,3.67419575633128,1937,1947
Bihar,Muslim Independent Party,109.0,1937-04-01,1937-07-19,0.29842573579739906,1937,1937
Chhattisgarh,Bharatiya Janata Party,25417.0,2003-12-07,2026-05-02,69.58795345653662,2003,2026
Chhattisgarh,Indian National Congress,12006.0,2000-11-01,2026-05-02,32.87063655030801,2000,2026
Goa,Indian National Congress,15090.0,1985-01-07,2026-05-02,41.31416837782341,1985,2026
Goa,Indian National Congress (U),16908.0,1980-01-16,2026-05-02,46.29158110882957,1980,2026
Goa,Maharashtrawadi Gomantak Party,101236.0,1963-12-20,2026-05-02,277.16906228610543,1963,2026
Gujarat,Indian National Congress,28566.0,1948-02-15,2026-05-02,78.2094455852156,1948,2026
Haryana,Bharatiya Janata Party,7928.0,2014-10-26,2026-05-02,21.7056810403833,2014,2026
Haryana,Haryana Vikas Party,10948.0,1996-05-11,2026-05-02,29.973990417522245,1996,2026
Haryana,Indian National Congress,176724.0,1966-11-01,2026-05-02,483.8439425051335,1966,2026
Haryana,Indian National Lok Dal,19336.0,1999-07-24,2026-05-02,52.93908281998631,1999,2026
Haryana,Janata Dal,66776.0,1987-06-20,2026-05-02,182.8227241615332,1987,2026
Haryana,Janata Party,34957.0,1977-06-21,2026-05-02,95.70704996577686,1977,2026
Haryana,Samajwadi Janata Party (Rashtriya),12825.0,1991-03-22,2026-05-02,35.1129363449692,1991,2026
Haryana,Vishal Haryana Party,21589.0,1967-03-24,2026-05-02,59.10746064339494,1967,2026
Himachal Pradesh,Indian National Congress,27083.0,1952-03-08,2026-05-02,74.1492128678987,1952,2026
Himachal Pradesh,"Office abolished, 1956–63 (Himachal Pradesh became a Union Territory)",39081.0,1956-05-02,2063-05-02,106.99794661190965,1956,2063
Jharkhand,Bharatiya Janata Party,35321.0,2000-11-15,2026-05-02,96.70362765229295,2000,2026
Jharkhand,Independent,7166.0,2006-09-18,2026-05-02,19.619438740588638,2006,2026
Jharkhand,Jharkhand Mukti Morcha,29301.0,2005-03-02,2026-05-02,80.22176591375771,2005,2026
Jharkhand,Position vacant (1 June – 11 September 2010) President's rule was imposed during this period[a],102.0,2026-06-01,2026-09-11,0.2792607802874743,2026,2026
Jharkhand,Position vacant (18 January – 13 July 2013) President's rule was imposed during this period[a],176.0,2026-01-18,2026-07-13,0.48186173853524983,2026,2026
Jharkhand,Position vacant (19 January – 30 December 2009) President's rule was imposed during this period[a],345.0,2026-01-19,2026-12-30,0.944558521560575,2026,2026
Karnataka,Indian National Congress,28679.0,1947-10-25,2026-05-02,78.51882272416154,1947,2026
Kerala,Indian National Congress,56844.0,1948-03-24,2026-05-02,155.63039014373717,1948,2026
Madhya Pradesh,Independent,56266.0,1949-04-15,2026-05-02,154.04791238877482,1949,2026
Madhya Pradesh,Indian National Congress,28463.0,1948-05-28,2026-05-02,77.927446954141,1948,2026
Maharashtra,Independent,32538.0,1937-04-01,2026-05-02,89.08418891170432,1937,2026
Maharashtra,Indian National Congress,61682.0,1937-07-19,2026-05-02,168.87611225188226,1937,2026
Manipur,Indian National Congress,65801.0,1963-07-01,2026-05-02,180.1533196440794,1963,2026
Manipur,Manipur United Front,21395.0,1967-10-04,2026-05-02,58.57631759069131,1967,2026
Manipur,Position vacant (12 January – 19 March 1967) President's rule was imposed during this period[a],66.0,2026-01-12,2026-03-19,0.1806981519507187,2026,2026
Manipur,Position vacant (17 October 1969 – 20 January 1972) President's rule was imposed during this period[a],20549.0,1969-10-17,2026-01-20,56.26009582477755,1969,2026
Manipur,Position vacant (25 October 1967 – 18 February 1968) President's rule was imposed during this period[a],21301.0,1967-10-25,2026-02-18,58.31895961670089,1967,2026
Mizoram,Indian National Congress,15337.0,1984-05-05,2026-05-02,41.99041752224504,1984,2026
Mizoram,Mizo National Front,14499.0,1986-08-21,2026-05-02,39.696098562628336,1986,2026
Mizoram,Mizo Union,19722.0,1972-05-03,2026-05-02,53.9958932238193,1972,2026
Mizoram,Mizoram People's Conference,34662.0,1978-06-02,2026-05-02,94.89938398357289,1978,2026
Mizoram,Position vacant (10 November 1978 – 8 May 1979) President's rule was imposed during this period[a],17346.0,1978-11-10,2026-05-08,47.49075975359343,1978,2026
Mizoram,Position vacant (11 May 1977 – 1 June 1978) President's rule was imposed during this period[a],17918.0,1977-05-11,2026-06-01,49.05681040383299,1977,2026
Nagaland,Position vacant (2 April 1992 – 22 February 1993) President's rule was imposed during this period[a],12379.0,1992-04-02,2026-02-22,33.89185489390828,1992,2026
Nagaland,Position vacant (20 March 1975 – 25 November 1977) President's rule was imposed during this period[a],18878.0,1975-03-20,2026-11-25,51.68514715947981,1975,2026
Nagaland,Position vacant (3 January – 12 March 2008) President's rule was imposed during this period[a],68.0,2026-01-03,2026-03-12,0.1861738535249829,2026,2026
