election_year,lok_sabha,party_in_government,seats_won_by_the_ruling_party,prime_minister
1951–52,First,,364.0,Jawaharlal Nehru
1957,Second,,371.0,Jawaharlal Nehru
1962,Third,,361.0,Jawaharlal Nehru
1962,Third,,361.0,Lal Bahadur Shastri (1964-1966)
1967,Fourth,,283.0,Indira Gandhi
1971,Fifth,,352.0,Indira Gandhi
1977,Sixth,,295.0,Morarji Desai
1977,Sixth,,295.0,Charan Singh
1980,Seventh,,353.0,Indira Gandhi
1984,Eighth,,414.0,Rajiv Gandhi
1989,Ninth,,143.0,V.P. Singh
1989,Ninth,,,Chandra Shekhar
1991,Tenth,,244.0,P. V. Narasimha Rao
1996,Eleventh,,161.0,Atal Bihari Vajpayee (16 May 1996 - 1 June 1996)
1996,Eleventh,,,H. D. Deve Gowda (1 June 1996-21 April 1997)
1996,Eleventh,,,I. K. Gujral (21 April 1997-19 March 1998)
1998,Twelfth,,182.0,Atal Bihari Vajpayee
1999,Thirteenth,,182.0,Atal Bihari Vajpayee
2004,Fourteenth,,145.0,Manmohan Singh
2009,Fifteenth,,206.0,Manmohan Singh
2014,Sixteenth,,282.0,Narendra Modi
2019,Seventeenth,,303.0,Narendra Modi
2024,Eighteenth,,240.0,Narendra Modi
