election_year,lok_sabha,total_seats,turnout,party_in_government,seats_won,prime_minister
1951-52,First,489,40%,Indian National Congress,364,Jawaharlal Nehru
1957,Second,494,45.44%,Indian National Congress,371,Jawaharlal Nehru
1962,Third,494,55.42%,Indian National Congress,361,Jawaharlal Nehru
1967,Fourth,520,61.04%,Indian National Congress,283,Indira Gandhi
1971,Fifth,518,55.27%,Indian National Congress,352,Indira Gandhi
1977,Sixth,542,60.49%,Janata Party,295,Morarji Desai
1980,Seventh,529,56.92%,Indian National Congress,353,Indira Gandhi
1984,Eighth,541,64.01%,Indian National Congress,414,Rajiv Gandhi
1989,Ninth,529,61.95%,Janata Dal,143,V. P. Singh
1991,Tenth,534,56.73%,Indian National Congress,244,P. V. Narasimha Rao
1996,Eleventh,543,57.94%,Bharatiya Janata Party,161,Atal Bihari Vajpayee
1998,Twelfth,543,61.97%,Bharatiya Janata Party,182,Atal Bihari Vajpayee
1999,Thirteenth,543,59.99%,Bharatiya Janata Party,182,Atal Bihari Vajpayee
2004,Fourteenth,543,58.07%,Indian National Congress,145,Manmohan Singh
2009,Fifteenth,543,58.21%,Indian National Congress,206,Manmohan Singh
2014,Sixteenth,543,66.44%,Bharatiya Janata Party,282,Narendra Modi
2019,Seventeenth,543,67.40%,Bharatiya Janata Party,303,Narendra Modi
2024,Eighteenth,543,66.33%,Bharatiya Janata Party,240,Narendra Modi
